#,Topic,Sub Topic,Question,Code Snippet,Question Type,Correct Option,Answer 1,Answer 2,Answer 3,Answer 4,Reference Link
1,Data Structures,Python Tuples,What is the output of the following piece of code when executed in the python shell?,"a={1,2,3}
a.intersection_update({2,3,4,5})
print(a)",MCQ,1,"{2,3}","Error, duplicate item present in list","Error, no method called intersection_update for set data type","{1,4,5}",http://www.allindiaexams.in/engineering/cse/python-mcq/tuples-sets
2,Data Structures,Python Dictionary,Read the code shown below carefully and pick out the keys?,"d = {""john"":40, ""peter"":45}",MCQ,2,"“john”, 40, 45, and “peter”",“john” and “peter”,40 and 45,"d = (40:”john”, 45:”peter”)",https://www.sanfoundry.com/python-mcqs-dictionary-1/
3,OOPS,Python Functions,Which Of The Following Statements Correctly Represent The Function Body In The Given Code Snippet?,"def f(number):
  # Missing function body
print(f(5))",MCQ,4,return “number”,print(number),print(“number”),return number,
4,Data Structures,Python Strings,What Is The Output Of The Following Code Snippet?,"def func(message, num = 1):
    print(message * num)
 
func('Welcome')
func('Viewers', 3)",MCQ,2,"Welcome
Viewers","Welcome
ViewersViewersViewers","Welcome
Viewers,Viewers,Viewers",Welcome,
5,Data Types,Python numbers,What Is The Output Of The Following Code Snippet?,"def func(x = 1, y = 2):
    x = x + y
    y += 1
    print(x, y)
func(y = 2, x = 1)",MCQ,4,1 3,2 3,The program has a runtime error because x and y are not defined.,3 3,
6,OOPS,Python Functions,"What will be the output of the following code fragment?
","def myfunc(arg, *targ, **darg):
   print(sum(targ) + arg + sum(darg.values()))
 
myfunc(37, 2, 3, g = 124, k = 34, z = 200)",MCQ,1,"400
",42,158,163,ACP
7,Data Structures,Python Strings,What Is The Output Of The Following Code Snippet?,"def myfunc(text, num):
    while num > 0:
        print(text)
        num = num - 1

myfunc('Hello', 4)",MCQ,4,"Hello
Hello
Hello
Hello
Hello","Hello
Hello
Hello
Hello",invalid call,infinite loop,
8,Data Structures,"Python Variable name, Operator and data types",What dataype is the object below ?,"L = [1, 23, ‘hello’, 1].",MCQ,1,list,dictionary,array,tuple,
9,Data Types,Python numbers,What Is The Output Of The Following Code Snippet?,"num = 1
def func():
    global num
    num = num + 3
    print(num)

func()
print(num)",MCQ,4,1 4,4 1,The program has a runtime error because the local variable ‘num’ referenced before assignment.,4 4,
10,Data Types,Python numbers,What Is The Output Of The Following Code Snippet?,"num = 1
def func():
    num = 3
    print(num)

func()
print(num)",MCQ,2,1 3, 3 1,The program has a runtime error because x is not defined.,1 1,
11,Data Types,Python numbers,What Is The Output Of The Following Code Snippet?,"num = 1
def func():
    num = num + 3
    print(num)

func()
print(num)",MCQ,3,1 4,4 1,The program has a runtime error because the local variable ‘num’ referenced before assignment.,1 1,
12,Interfaces & Packages,Python Lambda,"What will be the output, if you run the given code fragment using a python interpreter.","print(sum(map(lambda x: x * 2, range(1,11))))
    
",MCQ,1,110,100,200,210,ACP
13,Data Structures,Python Strings,What is the output of the following?,"print('a'.maketrans('ABC', '123'))",MCQ,2,"{97: 49, 98: 50, 99: 51}","{65: 49, 66: 50, 67: 51}",{97: 49},1,
14,Data Structures,Python Strings,What is the output of the following?,"print('xyyxyyxyxyxxy'.replace('xy', '12', 100))",MCQ,2,xyyxyyxyxyxxy,12y12y1212x12,none of the mentioned,error,
15,Interfaces & Packages,Python Lambda,What will be the output of the given code fragment? ,"r = lambda q: q * 2
s = lambda q: q * 3
x = 4
x = r(x)
x = s(x)
print(x)



",MCQ,1,"
24
",48,12,16,ACP
16,Data Structures,Python Tuples,What is the output of the code shown below?,"s=set([1, 2, 3])
s|([4, 5])",MCQ,3,"{1, 2, 3, 4, 5}{1, 2, 3, 4, 5}","Error{1, 2, 3, 4, 5}",Run time error,ErrorError,http://www.allindiaexams.in/engineering/cse/python-mcq/tuples-sets
17,Data Structures,Python Tuples,"What is the output of the line of code shown below, if s1= {1, 2, 3}?",s1.issubset(s1),MCQ,1,TRUE,Error,No output,FALSE,http://www.allindiaexams.in/engineering/cse/python-mcq/tuples-sets
18,Coding Guidelines,Python Coding guidelines,Is the following code valid?,"try:
    # Do something
except:
    # Do something
else:
    # Do something",MCQ,4,"no, there is no such thing as else","no, else cannot be used with except","no, else must come before except",yes,"https://www.sanfoundry.com/python-questions-answers-exception-handling/
https://docs.python.org/3/tutorial/errors.html "
19,OOPS,Python Functions,What Is The Default Return Value For A Function That Does Not Return Any Value Explicitly?,,MCQ,4,int,double,public,None,
20,OOPS,Python Functions,Which of The Following Items Are Present In The Function Header?,,MCQ,2,function name,function name and parameter list,parameter list,return value,
21,OOPS,Python Functions,Which of The Following Enclose The Input Parameters Or Arguments Of A Function?,,MCQ,2,brackets,parentheses,curly braces,quotation marks,
22,OOPS,Python Functions,Which of The Following Keywords Marks The Beginning Of The Function Block?,,MCQ,3,fun,define,def,function,
23,OOPS,Python Functions,"What Is The Name Given To That Area Of Memory, Where The System Stores The Parameters And Local Variables Of A Function Call?",,MCQ,3,a heap,storage area,a stack,an array,
24,OOPS,Python Functions,Which of The Following Function Definition Does Not Return Any Value?,,MCQ,1,a function that prints integers from 1 to 100.,a function that returns a random integer from 1 to 100.,a function that checks whether the current second is an integer from 1 to 100.,a function that converts an uppercase letter to lowercase.,
25,OOPS,Python Functions,Which Of The Following Would You Relate To A Function Call Made With An Argument Passed As Its Parameter?,,MCQ,2,function invocation,pass by value,pass by reference,pass by name,
26,Data Types,Python numbers,What Is The Output Of The Following Code Snippet?,,MCQ,2,3 1,3 3,The program has a runtime error because x and y are not defined.,1 3,
27,Data Structures,Python Tuples,Which of the following statements is used to create an empty set?,,MCQ,2,{ },set(),[ ].,( ),http://www.allindiaexams.in/engineering/cse/python-mcq/tuples-sets
28,Data Structures,Python Tuples,Which of the following lines of code will result in an error?,,MCQ,4,s={abs},"s={4, ‘abc’, (1,2)}","s={2, 2.2, 3, ‘xyz’}",s={san},http://www.allindiaexams.in/engineering/cse/python-mcq/tuples-sets
29,Data Structures,"Python Variable name, Operator and data types","What is answer of this expression, 22 % 3 is?",,MCQ,2,7,1,0,5,
30,Data Structures,"Python Variable name, Operator and data types","What is the output of this expression, 3*1**3?",,MCQ,3,27,9,3,1,
31,Data Structures,"Python Variable name, Operator and data types",Which of the following will run without errors ?,,MCQ,1,round(45.8),"round(6352.898,2,5)",round(),"round(7463.123,2,1)",
32,Data Structures,"Python Variable name, Operator and data types",What does --------- 5 evaluate to?,,MCQ,1,(+5),(-11),(+11),(-5),
33,Data Structures,"Python Variable name, Operator and data types",All keywords in Python are in,,MCQ,4,lower case,UPPER CASE,Capitalized,None of the mentioned,
34,Data Structures,"Python Variable name, Operator and data types",Which of these in not a core datatype?,,MCQ,4,Lists,Dictionary,Tuples,Class,
35,Data Structures,Python Dictionary,Which of the following statements create a dictionary?,,MCQ,4,d = {},"d = {“john”:40, “peter”:45}","d = {40:”john”, 45:”peter”}",All of the mentioned,https://www.sanfoundry.com/python-mcqs-dictionary-1/
36,Data Structures,Python Dictionary,"Suppose d = {“john”:40, “peter”:45}, to delete the entry for “john” what command do we use",,MCQ,3,d.delete(“john”:40),d.delete(“john”),del d[“john”].,del d(“john”:40),https://www.sanfoundry.com/python-mcqs-dictionary-1/
37,Data Structures,Python Dictionary,"Suppose d = {“john”:40, “peter”:45}. To obtain the number of entries in dictionary which command do we use?",,MCQ,2,d.size(),len(d),size(d),d.len(),https://www.sanfoundry.com/python-mcqs-dictionary-1/
38,Data Structures,Python Dictionary,"Suppose d = {“john”:40, “peter”:45}, what happens when we try to retrieve a value using the expression d[“susan”]?",,MCQ,3,"Since “susan” is not a value in the set, Python raises a KeyError exception","It is executed fine and no exception is raised, and it returns None","Since “susan” is not a key in the set, Python raises a KeyError exception","Since “susan” is not a key in the set, Python raises a syntax error",https://www.sanfoundry.com/python-mcqs-dictionary-1/
39,Data Structures,Python Strings,"Suppose i is 5 and j is 4, i + j is same as",,MCQ,2,i.__add(j),i.__add__(j),i.__Add(j),i.__ADD(j),
40,Data Types,Python Operators,Which is the correct operator for power(x^y)?,,MCQ,2,X^y,X**y,X^^y,None of the mentioned,https://www.astiwz.com/quiz/11-python/133-basic-operators
41,Data Types,Python Operators,Which one of these is floor division?,,MCQ,2,/,//,%,None of the mentioned,https://www.astiwz.com/quiz/11-python/133-basic-operators
42,Data Types,Python Operators,What is the order of precedence in python? i) Parentheses ii) Exponential iii) Division iv) Multiplication v) Addition vi) Subtracti,,MCQ,1,"i,ii,iii,iv,v,vi","ii,i,iii,iv,v,vi","ii,i,iv,iii,v,vi","i,ii,iii,iv,vi,v",https://www.astiwz.com/quiz/11-python/133-basic-operators
43,Data Types,Python Operators,You can perform mathematical operation on String?,,MCQ,2,TRUE,FALSE,,,https://www.astiwz.com/quiz/11-python/133-basic-operators
44,Data Types,Python Operators,Which one of the following have the same precedence?,,MCQ,3,Addition and Subtraction,Multiplication and Division,a and b,None of the mentioned,https://www.astiwz.com/quiz/11-python/133-basic-operators
45,Data Structures,Python List,Which of the following commands will create a list?,,MCQ,4, list1 = list(),list1 = [].,"list1 = list([1, 2, 3])",all of the mentioned,
46,Data Structures,Python List,To shuffle the list(say list1) what function do we use ?,,MCQ,3,list1.shuffle(),shuffle(list1),random.shuffle(list1),random.shuffleList(list1),
47,Data Structures,Python List,"Suppose list1 is [4, 2, 2, 4, 5, 2, 1, 0], Which of the following is correct syntax for slicing operation ?",,MCQ,4,print(list1[0]),print(list1[:2]),print(list1[:-2]),all of the mentioned,
48,Data Structures,Python List,"Suppose list1 is [2, 33, 222, 14, 25], What is list1[:-1] ?",,MCQ,1,"[2, 33, 222, 14].",Error,25,"[25, 14, 222, 33, 2].",
49,Data Structures,Python List,What is the output when we execute list(“hello”)?,,MCQ,1,"[‘h’, ‘e’, ‘l’, ‘l’, ‘o’].",[‘hello’].,[‘llo’].,[‘olleh’].,
50,Coding Guidelines,Python Coding guidelines,Use of parentheses can change the order of evaluation ?,,MCQ,1,Yes,No,,,
51,Coding Guidelines,Python Coding guidelines,What are the Immutable Built-In datatypes Available In Python?,,MCQ,4,Numbers,Strings,Tuples,All of the above.,https://www.techbeamers.com/python-interview-questions-programmers/
52,Coding Guidelines,Python Coding guidelines,What are the mutable Built-In datatypes Available In Python?,,MCQ,4,List,Dictionaries,Sets,All of the above.,https://www.techbeamers.com/python-interview-questions-programmers/
53,Coding Guidelines,Python Coding guidelines,"What Is A Function Call Or A Callable Object In Python?
A: A function in Python gets treated as a callable object. It can allow some arguments and also return a value or multiple values in the form of a tuple. Apart from the function, Python has other constructs, such as classes or the class instances which fits in the same category.
B: It is a Python statement which we can use for sending a value.",,MCQ,1,Only A,Only B,A & B both,None of the above,
54,Data Structures,Python Dictionary,"Suppose you have a dictionary 
mydict = { 'a': 1, 'b': 2, 'c': 3 }. You need to print it as a list of tupes like [(1, 'a'), (3, 'c'), (2, 'b')]. Choose the correct code fragment to do this.",,MCQ,1,"print((v, k) for k, v in mydict.items())","print((v, k) for k, v in mydict)",print(list(mydict)),print(tuple(mydict)),ACP
55,OOPS,Python Functions,What is the output of the following code?,"def Foo(n):
    def multiplier(x):
        return x * n
    return multiplier

a = Foo(5)
b = Foo(5)

print(a(b(2)))",MCQ,4,25,100,10,50,
56,OOPS,Python Functions,What is the output of the following code?,"def make_pretty(func):
    def inner():
        print(""I got decorated"")
        func()
    return inner

def ordinary():
    print(""I am ordinary"")
   
pretty = make_pretty(ordinary)
pretty()",MCQ,3,I got decorated,I am pretty,"I got decorated
I am ordinary","I am ordinary
I got decorated",
57,Interfaces & Packages,Python Lambda,What is the output of below program?,"def writer():
 title = 'Sir'
 name = (lambda x:title + ' ' + x)
 return name
 
who = writer()
print(who('Arthur'))",MCQ,2,Arthur Sir,Sir Arthur,Arthur,None of the mentioned,
58,Interfaces & Packages,Python Lambda,What is the following cade states,"exec((lambda x:x).func_code.__class__(0,0,0,0,""\x91\x03\x30d\x37\x13"",(),(),(),"""","""",0,""""))",MCQ,2 & 3,Some random invalid code,Valid code in python 2,A way to execute python bytecode,,
59,Libraries,Python Numpy,What gets printed?,"import numpy as np

a = np.array([[0, 1, 2], [3, 4, 5]])
b = a.ravel()
print (b[0,0])",MCQ,4,3,9,10,An exception is thrown,The ravel function will flatten the array into 1 dimension. Therefore indexing into it with 2 dimensions will throw an exception.
60,Libraries,Python Numpy,What gets printed?,"import numpy as np

a = np.array([[1,2,3],[0,1,4]])
b = np.zeros((2,3), dtype=np.int16)
c = np.ones((2,3), dtype=np.int16)
d = a + b + c
print (d[1,2] )",MCQ,2,1,5,8,An exception is thrown,"zeroes and ones will fill an array of specified dimensions with zeroes and ones respectively
http://www.mypythonquiz.com/question.php?qid=367"
61,Libraries,Python Numpy,What gets printed?,"import numpy as np

a = np.array([[1,2,3],[0,1,4]])
print (a.size)",MCQ,4,1,2,5,6,
62,Libraries,Python Numpy,What gets printed?,"import numpy as np

a = np.array([1,2,3,4,5])
b = np.arange(0,10,2)
c = a + b
print (c[4])",MCQ,3,4,5,13,An exception is thrown,arange function goes from first param to 2nd param not inclusive in increments of 3rd param
63,Libraries,Python Numpy,What gets printed?,"import numpy as np

a = np.array([1,2,3,5,8])
b = np.array([0,3,4,2,1])
c = a + b
c = c*a

print (c[2])",MCQ,3,12,10,21,27,
64,Libraries,Python Numpy,What gets printed?,"import numpy as np

a = np.array([1,2,3,5,8])
print (a.ndim)",MCQ,1,1,2,3,5,
65,Regular Expression,Python Regular Expressions,What gets printed?,"import re
sum = 0

pattern = 'back'
if re.match(pattern, 'backup.txt'):
    sum += 1
if re.match(pattern, 'text.back'):
    sum += 2
if re.search(pattern, 'backup.txt'):
    sum += 4
if re.search(pattern, 'text.back'):
    sum += 8

print(sum)",MCQ,3,3,7,13,15,"search will see if the pattern exists anywhere in the string, while match will only check if the pattern exists in the beginning of the string.
http://www.mypythonquiz.com/question.php"
66,Interfaces & Packages,Python Lambda,What is the output of this program?,"L = [lambda x: x ** 2,
         lambda x: x ** 3,
         lambda x: x ** 4]
 
for f in L:
 print(f(3))",MCQ,3,"27
81
343","6
9
12","9
27
81",None of the mentioned,
67,Interfaces & Packages,Python Lambda,What is the output of below program?,"lamb = lambda x: x ** 3
print(lamb(5))",MCQ,3,15,555,125,None of the mentioned,
68,OOPS,Python Functions,What is the output of the following code?,"my_list = [1, 3, 6, 10]
a = (x**2 for x in my_list)
print(next(a), next(a))",MCQ,2,1 3,1 9, 1 9 36 100,1,
69,Regular Expression,Python Regular Expressions,What is the output of the following?,"sentence = 'horses are fast'
regex = re.compile('(?P<animal>\w+) (?P<verb>\w+) (?P<adjective>\w+)')
matched = re.search(regex, sentence)
print(matched.group(2))",MCQ,4,"{‘animal’: ‘horses’, ‘verb’: ‘are’, ‘adjective’: ‘fast’}","(‘horses’, ‘are’, ‘fast’)",‘horses are fast’,‘are’,
70,Regular Expression,Python Regular Expressions,What is the output of the following?,"sentence = 'we are humans'
matched = re.match(r'(.*) (.*?) (.*)', sentence)
print(matched.group(3))",MCQ,3,‘are’,‘we’,‘humans’,‘we are humans’,
71,OOPS,Python Functions,"If a function contains at least one yield statement, it becomes ______",,MCQ,2,an iterable,a generator function, an anonymous function,None of the above,
72,OOPS,Python Functions,What are the criterias that must be met to create closure in Python?,,MCQ,4, Program Must have a function inside a function.,The nested function must refer to a value defined in the enclosing function.,The enclosing function must return the nested function.,All of the above.,
73,OOPS,Python Functions,What is the more pythonic way to use getters and setters?,,MCQ,4,Decorators,Generators,Iterators,@property,
74,OOPS,Python Functions,"In Python, there is a built-in function property() that returns a property object. The property object has which of the following methods?",,MCQ,2, getter() and setter(),"getter(), setter() and delete()",getter() and delete(),setter() and delete(),
75,Framework,Django,Which option with manage.py is used to change the port number for built-in web server,,MCQ,1,runserver,runreport,serverport,portserver,https://www.vskills.in/practice/django-test
76,Framework,Django,What significant advantage does MVC pattern offers in Django,,MCQ,1,Loose Coupling,Better abstraction,Ease of use for developer,lesser time and developer resourse requirement,
77,Framework,Django,What is the default port used by built-in webserver in Django,,MCQ,4,80,88,8080,8000,
78,Framework,Django,What role does world online play in context of Django,,MCQ,2,Only development,Development & guidance,Only guidance,Depends on Django USB projects,
79,Framework,Django,Which option with Django-admin.py is used to create project directory,,MCQ,3,Project,newproject,startproject,createproject,
80,Regular Expression,Python Regular Expressions,Which module in Python supports regular expressions?,,MCQ,1,re,regex,pyregex,none of the mentioned,"re is a part of the standard library and can be imported using: import re.
https://www.sanfoundry.com/python-questions-answers-regular-expressions/"
81,Regular Expression,Python Regular Expressions,Which of the following creates a pattern object?,,MCQ,3,re.create(str),re.regex(str),re.compile(str),re.assemble(str), It converts a given string into a pattern object.
82,Regular Expression,Python Regular Expressions,What does the function re.match do?,,MCQ,1,matches a pattern at the start of the string,matches a pattern at any position in the string,such a function does not exist,none of the mentioned,
83,Regular Expression,Python Regular Expressions,What does the function re.search do?,,MCQ,2,matches a pattern at the start of the string,matches a pattern at any position in the string,such a function does not exist,none of the mentioned,
84,Interfaces & Packages,Python Lambda,"Python supports the creation of anonymous functions at runtime, using a construct called ",,MCQ,1,Lambda,pi,anonymous,None of the mentioned,"Python supports the creation of anonymous functions (i.e. functions that are not bound to a name) at runtime, using a construct called lambda. Lambda functions are restricted to a single expression. They can be used wherever normal functions can be used.
https://www.sanfoundry.com/python-questions-campus-interview/"
85,Interfaces & Packages,Python Lambda,Does Lambda contains return statements?,,MCQ,2,TRUE,FALSE,,,ambda definition does not include a return statement. it always contains an expression which is returned. Also note that we can put a lambda definition anywhere a function is expected. We don’t have to assign it to a variable at all.
86,Interfaces & Packages,Python Lambda,Lambda is a statement?,,MCQ,2,TRUE,FALSE,,,lambda is an anonymous function in Python. Hence this statement is false.
87,Interfaces & Packages,Python Pandas,Which of the following thing can be data in Pandas ?,,MCQ,4,a python dict,an ndarray,a scalar value, all of the Mentioned,"The passed index is a list of axis labels.
https://www.sanfoundry.com/data-science-questions-answers-pandas-data-structure/"
88,Interfaces & Packages,Python Pandas,Point out the correct statement:,,MCQ,2,"If data is a list, if index is passed the values in data corresponding to the labels in the index will be pulled out",NaN is the standard missing data marker used in pandas,Series acts very similarly to a array,None of the Mentioned,"If data is a dict, if index is passed the values in data corresponding to the labels in the index will be pulled out."
89,Interfaces & Packages,Python Pandas,The result of an operation between unaligned Series will have the ________ of the indexes involved.,,MCQ,2,intersection,union,total,all of the Mentioned,
90,Interfaces & Packages,Python Pandas,Which of the following input can be accepted by DataFrame ?,,MCQ,4,Structured ndarray,Series,DataFrame,All of the Mentioned,DataFrame is a 2-dimensional labeled data structure with columns of potentially different types.
91,Interfaces & Packages,Python Pandas,Which of the following takes a dict of dicts or a dict of array-like sequences and returns a DataFrame ?,,MCQ,1,DataFrame.from_items,DataFrame.from_records,DataFrame.from_dict,All of the Mentioned,DataFrame.from_dict operates like the DataFrame constructor except for the orient parameter which is ‘columns’ by default.
92,Design Pattern,Python Generators,Following statement is True or False?,"a generator function returns an generator object that is iterable, i.e., can be used as an Iterators .",MCQ,1,TRUE,FALSE,,,
93,OOPS,Python Classes,What Will Be The Output Of The Following Code Snippet?,"class Person:
    def __init__(self, id):
        self.id = id

sam = Person(100)

sam.__dict__['age'] = 49

print (sam.age + len(sam.__dict__))",MCQ,4,1,2,49,51,https://www.techbeamers.com/online-python-quiz-beginners-classes-objects/
94,Design Pattern,Python Generators,"Will ""f()"" be printed?","def f():
 print(""f()"")
 yield 1

f()",MCQ,2,Yes,No,,,
95,Design Pattern,Python Generators,What will be printed?,"def f(value):
 while True:
  value = (yield value)

a=f(10)
print(next(a))
print(next(a))
print(a.send(20))",MCQ,3,"10,10","10,10,20","10,None,20","10,None,None",
96,Design Pattern,Python Decorators,"In the code shown below, which function is the decorator?","def mk(x):
    def mk1():
        print(""Decorated"")
        x()
    return mk1
def mk2():
    print(""Ordinary"")
p = mk(mk2)
p()",MCQ,2,p(),"Decorated
Ordinary",mk1(),mk2(),
97,Design Pattern,Python Decorators,Identify the decorator in the snippet of code shown below.,"def sf():
     pass
sf = mk(sf)
@f
def sf():
     return",MCQ,4,@f,F,sf(),mk,
98,Exception Handling,Python Exception Handling,What does the following code do?,"f = open(""test.txt"")",MCQ,2,Opens test.txt file for both reading and writing,Opens test.txt file for reading only,Opens test.txt file for writing only,Opens test.txt file in god mode,
99,Exception Handling,Python Exception Handling,"For the following code,","f = open('test.txt', 'r', encoding = 'utf-8')
f.read()",MCQ,4,This program reads the content of test.txt file.,"If test.txt contains newline, read() will return newline as ‘\n’.",You can pass an integer to the read() method., All of the above.,
100,Decision Making,Python Decision Making,What is the output of the following code?,"for char in 'PYTHON STRING':
  if char == ' ':
      break

  print(char, end='')
  
  if char == 'O':
      continue",MCQ,1,PYTHON,PYTHONSTRING,PYTHN,STRING,
101,Decision Making,Python Decision Making,What is the output of the following code?,"for i in [1, 0]:
  print(i+1)",MCQ,1,"2
1","[2, 1]","2
0","[2, 0]",
102,OOPS,Python Modules,What is the output of the following piece of code?,"from math import factorial
print(math.factorial(5))",MCQ,4,120,Nothing is printed,"Error, method factorial doesn’t exist in math module","Error, the statement should be: print(factorial(5))",https://www.sanfoundry.com/python-questions-answers-modules/
103,Exception Handling,Python Exception Handling,What is the output of the code shown below?,"g = (i for i in range(5))
print(type(g))",MCQ,4, class <’loop’>,class <‘iteration’>,class <’range’>,class <’generator’>,"Another way of creating a generator is to use parenthesis. Hence the output of the code shown above is: class<’generator’>.
https://www.sanfoundry.com/python-questions-answers-exception-handling-2/"
